Time,Speed/X,Speed/Y,Speed/Z,Brake pedal force,Gas pedal,Banking,Banking Angle,Gradient,Gradient Angle,Calculated lateral acceleration,Steering wheel speed,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Yaw %ground,Yaw acceleration,Yaw speed,anger score
153.05,37.29,-0.0550442,0.0272013,0,0.0947867,0.0199954,1.1455,-0.00504461,-0.289032,0.00859894,0,0.0402962,-0.0462127,-1.25E-05,0.079301,-0.286404,0.0148326,57.5283,-0.0196408,0.0475639,5
153.1,37.2857,-0.0547639,0.0272446,0,0.0947867,0.0199686,1.14397,-0.005044,-0.288997,0.00909329,6,0.0403286,-0.0937379,1.70E-05,0.0814224,-0.354296,0.00762086,57.5308,-0.249596,0.0503041,5
153.15,37.2815,-0.0543698,0.0272622,0,0.0947867,0.0199959,1.14553,-0.005042,-0.288883,0.00982656,0,0.0404743,-0.0188975,0.00126282,0.080188,-0.00640113,0.00820431,57.5334,0.0636614,0.0543667,5
153.2,37.2772,-0.0536936,0.0273238,0,0.0947867,0.019937,1.14215,-0.00504012,-0.288775,0.0115793,0,0.0406534,-0.139544,0.00147496,0.0840633,-0.176728,0.013832,57.5362,-0.0476091,0.0640712,5
153.25,37.2729,-0.0528974,0.0274133,0,0.0947867,0.0199965,1.14556,-0.00503648,-0.288567,0.0138416,0,0.0409034,-0.00670742,9.91E-05,0.0814825,0.219695,0.0163762,57.5398,0.458428,0.0765979,5
153.3,37.2686,-0.0516928,0.0274563,0,0.0947867,0.0198989,1.13997,-0.00503393,-0.28842,0.0172101,0,0.0410084,0.248544,-0.00147599,0.0881181,-0.149261,0.0252066,57.5441,-0.318485,0.0952501,5
153.35,37.2648,-0.0504187,0.0274593,0,0.0971564,0.0199974,1.14561,-0.00502927,-0.288153,0.0208999,0,0.0411078,-0.0894378,-0.0059889,0.0838988,0.141059,0.0300369,57.5494,0.531921,0.115683,5
153.4,37.2607,-0.0492958,0.0273216,0,0.0947867,0.0198787,1.13882,-0.00502671,-0.288007,0.0243069,-6,0.0409023,0.0385149,-0.00642087,0.0922823,-0.312803,0.0301621,57.5557,0.157641,0.134556,5
153.45,37.2564,-0.0489759,0.0272375,0,0.0947867,0.020025,1.1472,-0.00502483,-0.287899,0.0249814,0,0.040749,0.0795761,-0.00404867,0.0850702,-0.378652,0.01581,57.5626,-0.0964717,0.138306,5
153.5,37.2521,-0.0493243,0.0271743,0,0.0947867,0.0199991,1.14571,-0.00502427,-0.287867,0.0234513,0,0.040648,0.0614321,-0.00125607,0.0869098,-0.455048,-0.00268132,57.5694,-0.343365,0.12985,5
153.55,37.2478,-0.0503713,0.0272239,0,0.0947867,0.0200582,1.1491,-0.00502503,-0.287911,0.0198451,0,0.0406098,-0.00918943,0.000825321,0.0829412,-0.329022,-0.019518,57.5754,-0.743504,0.109895,5
153.6,37.2435,-0.0517479,0.0273687,0,0.0947867,0.02,1.14576,-0.00502484,-0.2879,0.0152779,0,0.0406093,-0.118848,-0.00184687,0.0850019,0.022955,-0.0267277,57.5802,-0.417346,0.0846133,5
153.65,37.2397,-0.0525694,0.0274475,0,0.0971564,0.0200919,1.15103,-0.00502345,-0.28782,0.0125082,6,0.0404818,-0.0880858,-0.00685175,0.0784373,0.466301,-0.0219772,57.5839,-0.138841,0.0692808,5
153.7,37.2357,-0.0525222,0.0272769,0,0.0947867,0.0200008,1.14581,-0.00502151,-0.287709,0.0128513,0,0.0402665,0.0822647,-0.00423172,0.082993,0.211295,-0.0090488,57.5875,0.138326,0.0711892,5
153.75,37.2314,-0.0525504,0.0271418,0,0.0947867,0.0201263,1.153,-0.00502068,-0.287662,0.0131625,-6,0.0402524,0.133124,0.000952987,0.075401,0.422611,-0.00453065,57.591,-0.145049,0.0729213,5
153.8,37.2275,-0.0530684,0.0271642,0,0.0971564,0.0200019,1.14587,-0.005021,-0.28768,0.0121515,0,0.0402741,-0.1341,-0.000724093,0.0822671,-0.17782,-0.00742095,57.5946,-0.338471,0.0673272,5
153.85,37.2235,-0.0534198,0.027211,0,0.0947867,0.0200015,1.14585,-0.00501964,-0.287602,0.0111393,0,0.0403012,0.131225,-7.49E-05,0.0818797,-0.00389449,-0.00739807,57.5978,0.0927366,0.0617256,5
